SOUPSTAND BILL OF MATERIALS,,,,,
 Total Cost ,,,,,
 $ 24.58 ,,,,,
,,,,,
Item, Indiv Costs ,Quanities, Cost ,Links to Order,Additional Notes
ESP32-S3-WROOM-1-N16R8, $ 6.76 ,1, $ 6.76 ,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N16R8/16162642,
MAX98357AETE+T, $ 3.73 ,1, $ 3.73 ,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX98357AETE-T/4936122,
AP2112K-3.3TRG1, $ 0.25 ,1, $ 0.25 ,https://www.digikey.com/en/products/detail/diodes-incorporated/AP2112K-3-3TRG1/4470746?s=N4IgTCBcDaIIYAcwEZlgNYFoDMA6bALgE4DmyIAugL5A,
MCP73831T-2ATI/OT, $ 0.76 ,1, $ 0.76 ,https://www.digikey.com/en/products/detail/microchip-technology/MCP73831T-2ATI-OT/964303?s=N4IgTCBcDaILYGMAOB2AzADjQRgCoFowBDAFwEsB6AexJAF0BfIA,
TYPE-C-31-M-12, $ 0.19 ,5, $ 0.93 ,https://www.lcsc.com/product-detail/C165948.html?s_z=n_q_korean%2520hroparts%2520elec%2520type-c-31-m-12&spm=wm.fly.bg.1.xh&lcsc_vid=R1cKX1cFEVUKX1ECR1FdBlRQFlAMUwFUElkPUwcDQwAxVlNeRlhZV1dRQ1dZUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D,"4 extra, only available in bulk"
B2B-PH-K-S, $ 0.11 ,1, $ 0.11 ,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B2B-PH-K-S/926611?s=N4IgTCBcDaIEZjgWgA4AskGskGcAUANgGYCUeOAdiSALoC%2BQA,
M20-9990246, $ 0.10 ,1, $ 0.10 ,https://www.digikey.com/en/products/detail/harwin-inc/M20-9990246/3728226?s=N4IgTCBcDaILZgAwFoCc7FgCwDYQF0BfIA,
OS102011MS2QN1, $ 0.80 ,1, $ 0.80 ,https://www.digikey.com/en/products/detail/c-k/OS102011MS2QN1/411602,
1825910-6, $ 0.13 ,3, $ 0.39 ,https://www.digikey.com/en/products/detail/te-connectivity-alcoswitch-switches/1825910-6/1632536,
PTS645SM43SMTR92 LFS, $ 0.36 ,1, $ 0.36 ,https://www.digikey.com/en/products/detail/c-k/PTS645SM43SMTR92-LFS/1146840,
CL21A106KQFNNNE, $ 0.10 ,4, $ 0.40 ,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KQFNNNE/3886780,
C0603C104K3RACTU, $ 0.10 ,6, $ 0.60 ,https://www.digikey.com/en/products/detail/kemet/C0603C104K3RACTU/416044,
C0603C105K4RACTU, $ 0.10 ,1, $ 0.10 ,https://www.digikey.com/en/products/detail/kemet/C0603C105K4RACTU/2199788,
16YXJ220MT16.3X11, $ 0.30 ,1, $ 0.30 ,https://www.digikey.com/en/products/detail/rubycon/16YXJ220MT16-3X11/3134826,
LTST-C191KFKT, $ 0.11 ,1, $ 0.11 ,https://www.digikey.com/en/products/detail/liteon/LTST-C191KFKT/386833,
RC0603FR-075K1L, $ 0.10 ,2, $ 0.20 ,https://www.digikey.com/en/products/detail/yageo/RC0603FR-075K1L/727268,
RC0603FR-0710KL, $ 0.10 ,2, $ 0.20 ,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0710KL/726880,
RR0816P-202-D, $ 0.10 ,1, $ 0.10 ,https://www.digikey.com/en/products/detail/susumu/RR0816P-202-D/432192,
RC0603FR-07330RL, $ 0.10 ,1, $ 0.10 ,https://www.digikey.com/en/products/detail/yageo/RC0603FR-07330RL/727162,
RMCF0603FT300K, $ 0.10 ,1, $ 0.10 ,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0603FT300K/1760826,
PCB, $ 0.40 ,5, $ 2.00 ,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010,
PLA Housing, $ -   ,, $ -   ,,
M3 x 10mm Socket Cap Head Screws, $ 0.33 ,6, $ 1.98 ,https://accu-components.com/us/metric-cap-head-screws/16004-SSCF-M3-10-12-9,
M3 x 5mm Socket Cap Head Screws, $ 0.45 ,4, $ 1.80 ,https://accu-components.com/us/metric-cap-head-screws/16001-SSCF-M3-5-12-9,
NS50D-0802-L82-01 Speaker, $ 2.40 ,1, $ 2.40 ,https://www.digikey.com/en/products/detail/nac-holdings-limited/NS50D-0802-L82-01/15859761,